파다, 158, 77
자마, 153, 98
파나, 198, 77
하타, 160, 51
나다, 177, 68
자사, 155, 55
아바, 191, 94
가가, 164, 73
가다, 163, 97
하라, 165, 71
나카, 179, 56
사가, 187, 53
나타, 194, 97
사카, 169, 84
자카, 182, 74
사가, 190, 75
타사, 188, 93
사사, 154, 70
아가, 195, 94
나다, 156, 53
아차, 181, 64
파가, 171, 81
자라, 164, 69
차하, 153, 76
아타, 165, 69
차나, 186, 66
아파, 176, 97
카다, 197, 54
가가, 186, 52
사파, 184, 81
아하, 175, 99
파나, 198, 72
사마, 171, 70
차다, 170, 80
가바, 195, 81
마마, 162, 87
아바, 194, 70
하차, 153, 72
나파, 169, 84
바차, 159, 70
다차, 174, 91
아가, 183, 93
마차, 199, 78
바마, 186, 65
나라, 188, 91
나나, 197, 93
라자, 164, 68
라파, 169, 94
다차, 152, 64
마차, 178, 55
자가, 150, 81
파하, 157, 61
아아, 198, 50
사차, 166, 88
가바, 187, 81
다다, 189, 83
자나, 167, 83
카가, 172, 62
자파, 195, 67
가자, 174, 61
바자, 157, 72
차자, 150, 70
타아, 180, 57
아바, 197, 90
다자, 185, 71
나타, 171, 97
파가, 157, 59
바파, 186, 57
라하, 189, 60
나타, 152, 91
바나, 189, 55
차타, 158, 71
차나, 192, 58
나카, 184, 64
아나, 170, 55
자하, 199, 54
사사, 196, 88
바차, 194, 74
카라, 166, 50
마파, 170, 79
가파, 163, 71
파차, 150, 79
사마, 175, 87
나카, 151, 94
다다, 185, 97
나아, 178, 55
다타, 195, 69
다가, 186, 60
나카, 164, 78
나라, 158, 59
카하, 175, 83
다다, 178, 61
파바, 157, 99
카마, 172, 91
카다, 183, 95
카사, 179, 74
하가, 187, 67
타아, 179, 55
차가, 180, 50
라나, 166, 82
파바, 152, 61
차라, 152, 53
파타, 198, 82
차나, 154, 96
차사, 170, 79
나라, 181, 54
하가, 152, 54
차마, 151, 75
마사, 179, 77
차카, 159, 57
차마, 157, 71
타카, 197, 72
아라, 167, 68
라가, 154, 87
바가, 166, 69
나가, 162, 84
타파, 194, 51
가라, 168, 80
다하, 168, 93
바나, 191, 77
나파, 165, 89
라아, 185, 97
카다, 176, 78
카가, 175, 67
파마, 173, 87
아나, 182, 68
가파, 153, 68
가차, 187, 68
다마, 152, 91
사나, 186, 57
하파, 199, 69
하하, 189, 95
카사, 168, 87
나다, 150, 88
파바, 191, 76
자다, 191, 58
바파, 169, 68
나다, 162, 73
자파, 180, 58
가라, 158, 83
차카, 197, 55
아바, 153, 81
라파, 184, 58
카마, 179, 59
라가, 152, 91
하바, 155, 60
다나, 156, 91
파자, 157, 96
사마, 172, 69
아사, 166, 78
타바, 150, 79
차타, 152, 57
파하, 152, 70
사카, 158, 78
파아, 161, 62
마마, 198, 97
카타, 175, 95
바파, 185, 59
자나, 165, 59
하카, 195, 61
카바, 177, 97
자아, 197, 85
사자, 159, 55
사라, 167, 51
자바, 152, 55
자라, 174, 87
가사, 195, 92
파가, 152, 68
바바, 188, 96
타자, 162, 92
아파, 196, 89
아사, 182, 60
사다, 165, 51
가아, 175, 75
차라, 196, 86
마가, 189, 81
하바, 171, 85
라파, 182, 66
파나, 158, 85
라파, 160, 76
하타, 195, 58
마하, 158, 67
자라, 164, 94
아라, 191, 89
바카, 194, 85
차마, 151, 59
아사, 154, 64
라파, 196, 64
다자, 182, 52
나사, 194, 84
다라, 182, 78
아나, 176, 52
가차, 182, 64
나자, 187, 80
바차, 176, 55
타하, 177, 51
하차, 186, 75
파파, 152, 72
자아, 187, 73
카자, 158, 76
바마, 197, 78
파자, 154, 60
카타, 150, 59
자바, 189, 83
라타, 174, 93
다타, 152, 90
카사, 179, 94
타마, 180, 91
마나, 184, 66
마하, 189, 56
파바, 162, 51
사바, 181, 96
카나, 169, 63
파아, 187, 50
자다, 188, 87
차바, 195, 66
라하, 158, 75
차나, 166, 71
나다, 179, 52
파나, 182, 77
사자, 161, 95
파차, 195, 89
바바, 160, 53
다아, 179, 83
차아, 188, 98
하바, 158, 80
자다, 150, 91
다아, 157, 97
나카, 188, 92
가아, 164, 94
카차, 191, 56
마바, 172, 51
파바, 179, 83
바다, 184, 99
하가, 198, 98
하바, 177, 62
바카, 159, 70
카마, 177, 83
아아, 171, 54
자라, 174, 95
마자, 175, 90
가라, 169, 68
다라, 158, 99
가나, 155, 65
하아, 189, 97
카다, 198, 67
바바, 167, 62
마바, 168, 88
마카, 169, 71
바라, 171, 73
자다, 197, 86
자카, 160, 61
사라, 152, 87
카마, 159, 56
마파, 151, 63
가파, 166, 96
사카, 196, 73
바파, 157, 90
사카, 185, 72
사차, 164, 94
가차, 152, 67
파아, 168, 73
파사, 155, 66
바카, 167, 64
마마, 188, 54
카가, 157, 74
바타, 193, 51
마타, 155, 89
라카, 190, 57
마하, 184, 58
하카, 191, 56
바라, 182, 54
자가, 177, 54
차사, 199, 86
사차, 160, 50
가하, 174, 55
카라, 199, 84
가타, 177, 98
자가, 199, 55
마다, 167, 91
타파, 159, 70
가차, 179, 77
사하, 168, 63
자나, 199, 94
다마, 161, 97
마라, 162, 65
차다, 153, 50
사타, 163, 93
자타, 189, 58
아아, 150, 63
라아, 188, 72
자타, 195, 84
나나, 194, 69
하카, 170, 92
파타, 176, 68
라하, 168, 67
가라, 191, 53
라차, 163, 69
타사, 197, 60
파다, 188, 80
바파, 185, 62
나아, 167, 64
하다, 152, 76
가카, 168, 68
바아, 165, 68
타바, 152, 52
바카, 182, 58
나차, 160, 52
다카, 175, 72
하바, 163, 79
아가, 190, 50
차나, 193, 52
타사, 181, 52
